"economy","economycode","wpid_random","wgt","female","age","educ","inc_q","emp_in","urbanicity_f2f","account","account_fin","account_mob","fin2","fin4","fin5","fin6","fin7","fin8","fin8b","fin9","fin9a","fin10","fin10a","fin10b","fin11_1","fin11a","fin11b","fin11c","fin11d","fin11e","fin11f","fin11g","fin11h","fin13a","fin13b","fin13c","fin13d","fin14_1","fin14a","fin14a1","fin14b","fin16","fin17a","fin17a1","fin20","fin22a","fin22b","fin24","fin24a","fin24b","fin30","fin31a","fin31b","fin31c","fin32","fin33","fin34a","fin34b","fin34d","fin34e","fin37","fin38","fin39a","fin39b","fin39d","fin39e","fin44a","fin44b","fin44c","fin44d","fin45","saved","borrowed","receive_wages","receive_transfers","receive_pension","receive_agriculture","pay_utilities","remittances","mobileowner","internetaccess","anydigpayment","merchantpay_dig"
"Iran, Islamic Rep.","IRN",176131338,1.38047572369031,2,17,2,4,2,,1,1,0,1,1,1,1,2,,,2,,2,,1,,,,,,,,,,,,,,1,1,1,1,2,2,,2,2,1,6,2,2,2,,,,2,,,,,,2,2,,,,,3,2,3,2,4,1,1,4,4,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",192661512,0.831646171921196,2,36,2,3,1,,1,1,1,1,1,1,1,2,,,1,1,1,1,1,,,,,,,,,,1,1,2,1,1,1,2,1,2,2,2,2,1,1,3,2,1,1,1,1,,1,2,1,2,,,1,2,1,2,,,1,1,1,2,3,0,1,1,1,4,,1,,1,1,1,
"Iran, Islamic Rep.","IRN",166455965,1.4529221763761,1,26,3,3,1,,1,1,0,1,1,1,1,2,,,1,1,2,,1,,,,,,,,,,,,,,2,2,1,2,1,2,,2,2,2,4,2,2,2,,,,1,2,1,2,,,2,2,,,,,2,2,3,3,1,1,0,1,4,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",178959373,1.56288011956793,2,18,2,5,2,,1,1,0,1,1,1,1,2,,,1,2,1,2,1,,,,,,,,,,,,,,2,2,2,1,2,1,,2,2,2,4,2,2,1,2,1,,2,,,,,,1,2,1,2,,,3,3,3,3,,1,0,4,1,4,,1,,1,1,1,
"Iran, Islamic Rep.","IRN",195115371,1.3201796168731,2,41,1,4,1,,1,1,0,1,1,1,1,2,,,2,,1,1,2,,,,,,,,,,,,,,1,1,1,1,2,2,,2,1,1,3,3,3,1,2,1,,2,,,,,,1,2,2,2,2,1,1,1,3,2,1,0,1,4,1,4,,1,,1,1,1,
"Iran, Islamic Rep.","IRN",157533045,0.663150639204212,1,40,2,1,2,,1,1,0,1,1,2,1,2,,,1,2,1,1,1,,,,,,,,,,,,,,2,2,2,2,2,1,,1,1,1,1,3,3,2,,,,2,,,,,,1,2,1,2,,,2,2,2,1,4,1,1,4,1,4,,4,,1,2,1,
"Iran, Islamic Rep.","IRN",181788270,1.21628530349557,1,18,2,5,1,,0,0,0,2,,,,,,,,,,,,1,2,2,2,2,2,2,1,1,,,,,2,1,1,1,2,2,,2,2,2,2,2,2,2,,,,2,,,,,,2,2,,,,,2,3,3,3,,0,0,4,4,4,,4,,1,1,0,
"Iran, Islamic Rep.","IRN",202728172,0.906712137752426,1,65,1,1,1,,1,1,0,1,2,2,2,2,,,2,,2,,2,,,,,,,,,,,,,,2,1,1,2,2,2,,2,2,2,4,1,1,1,1,1,,2,,,,,,2,1,2,2,2,2,1,1,1,1,1,0,0,4,4,3,,1,,1,2,1,
"Iran, Islamic Rep.","IRN",116198813,0.957694409042235,1,24,2,2,2,,1,1,0,1,1,1,1,2,,,1,1,1,1,1,,,,,,,,,,,,,,2,1,2,1,2,2,,1,2,1,2,3,3,1,1,2,,1,2,2,2,1,,1,2,1,2,,,3,1,2,2,2,0,1,2,1,4,,1,,1,1,1,
"Iran, Islamic Rep.","IRN",206816509,0.457450044446429,2,41,3,4,1,,1,1,0,1,1,2,1,2,,,1,2,1,1,1,,,,,,,,,,,,,,2,2,2,2,4,2,,1,1,1,2,2,4,2,,,,1,1,1,2,,,1,2,2,2,2,2,1,1,1,1,1,0,1,1,3,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",132475453,0.802893104939603,2,40,2,3,1,,1,1,0,1,1,1,2,2,,,1,2,1,2,1,,,,,,,,,,,,,,2,1,1,2,2,2,,2,2,2,3,1,1,1,1,2,,1,2,1,2,,,2,2,,,,,1,1,1,1,2,1,0,1,4,4,,1,,1,1,1,
"Iran, Islamic Rep.","IRN",184477217,0.807443148634791,1,17,2,5,2,,1,1,0,1,1,2,2,2,,,1,1,1,1,1,,,,,,,,,,,,,,2,2,2,2,2,2,,2,2,2,1,3,3,2,,,,2,,,,,,2,2,,,,,3,3,3,3,,0,0,4,4,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",128393532,1.78248430252274,1,21,2,5,2,,1,1,0,1,1,2,1,2,,,1,1,1,1,2,,,,,,,,,,,,,,2,2,2,1,2,2,,2,2,2,2,2,2,2,,,,2,,,,,,2,2,,,,,2,3,2,3,1,0,0,4,4,4,,4,,2,1,1,
"Iran, Islamic Rep.","IRN",155174567,0.492914412942408,1,74,1,5,2,,1,1,0,1,2,2,1,2,,,1,1,1,1,2,,,,,,,,,,,,,,2,2,2,2,2,2,,2,2,2,2,3,2,1,2,2,1,2,,,,,,1,1,1,2,,,2,2,2,4,1,0,0,4,1,1,,2,,1,2,1,
"Iran, Islamic Rep.","IRN",144586789,0.55650676941071,1,47,1,2,2,,1,1,0,1,1,1,1,2,,,2,,1,2,1,,,,,,,,,,,,,,2,1,1,1,2,1,,2,2,2,1,2,2,1,1,1,,2,,,,,,1,2,2,2,2,1,3,3,2,3,,1,0,4,1,4,,1,,1,1,1,
"Iran, Islamic Rep.","IRN",182690145,1.14585732267098,2,36,2,3,1,,1,1,0,1,1,1,2,2,,,1,2,1,2,1,,,,,,,,,,,,,,2,1,2,2,2,2,,2,2,1,4,2,1,2,,,,1,2,1,2,,,1,2,2,2,2,1,2,2,2,2,1,0,1,1,1,4,,4,,1,2,1,
"Iran, Islamic Rep.","IRN",196534582,1.00913977073577,1,57,1,1,2,,1,1,0,2,,,,,,,,,,,,,2,2,2,1,3,1,1,3,,,,,2,2,2,2,2,2,,1,2,1,2,1,1,2,,,,2,,,,,,1,2,2,2,2,1,1,2,2,3,1,0,1,4,1,4,,4,,2,2,1,
"Iran, Islamic Rep.","IRN",193745406,0.585493104962372,1,63,1,5,2,,1,1,0,2,,2,2,2,,,1,1,2,,2,,,,,,,,,,,,,,2,2,2,2,2,2,,2,2,2,2,1,1,1,1,2,,2,,,,,,2,2,,,,,1,1,1,4,1,0,1,4,4,4,,1,,1,2,1,
"Iran, Islamic Rep.","IRN",181867793,0.304363756797461,1,62,1,5,2,,1,1,0,1,2,2,2,2,,,1,1,1,1,1,,,,,,,,,,,,,,2,1,2,2,1,1,,1,2,1,1,2,2,2,,,,2,,,,,,1,1,1,2,,,1,2,1,4,1,1,1,4,1,1,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",135350715,0.562098452749112,1,51,1,5,2,,1,1,0,1,1,1,1,2,,,2,,1,1,1,,,,,,,,,,,,,,2,1,1,1,2,2,,2,2,2,1,3,2,1,2,1,,2,,,,,,2,2,,,,,3,3,3,3,,1,0,4,4,4,,1,,1,1,1,
"Iran, Islamic Rep.","IRN",143488470,0.553155422985767,1,42,2,4,2,,1,1,1,1,1,1,1,2,,,1,1,1,1,2,,,,,,,,,,1,2,2,1,2,1,1,1,1,2,2,2,2,2,1,2,1,1,2,2,2,2,,,,,,1,2,2,2,2,2,2,2,2,1,1,1,0,4,3,4,,3,,1,1,1,
"Iran, Islamic Rep.","IRN",177040465,1.22075641199787,1,22,2,5,2,,1,1,0,1,1,1,1,2,,,1,1,1,1,2,,,,,,,,,,,,,,2,2,1,1,2,2,,2,2,1,2,2,1,2,,,,2,,,,,,2,2,,,,,3,3,3,3,,1,1,4,4,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",161150771,0.746642410872286,2,72,1,1,1,,1,1,0,1,1,2,2,2,,,1,2,1,2,2,,,,,,,,,,,,,,2,2,2,2,2,2,,2,2,2,1,1,1,1,2,2,1,2,,,,,,1,2,2,2,2,2,1,1,2,4,6,0,0,4,3,4,,2,,1,2,1,
"Iran, Islamic Rep.","IRN",209477123,0.867147490298077,1,42,1,1,2,,1,1,0,1,2,2,2,2,,,2,,2,,2,,,,,,,,,,,,,,2,2,2,2,2,2,,1,1,1,4,1,1,1,2,2,1,2,,,,,,1,2,2,2,2,1,1,1,2,1,2,0,1,4,1,4,,2,,1,2,1,
"Iran, Islamic Rep.","IRN",147270609,0.553155422985767,1,43,2,5,2,,1,1,0,1,1,1,2,2,,,2,,1,1,2,,,,,,,,,,,,,,2,1,1,2,2,2,,2,2,2,7,,,1,1,1,,2,,,,,,1,1,1,2,,,3,3,3,4,,0,0,4,1,1,,1,,1,1,1,
"Iran, Islamic Rep.","IRN",193850063,1.12849943846652,1,35,3,5,1,,1,1,1,1,1,1,1,2,,,1,1,1,1,2,,,,,,,,,,,,,,1,1,1,1,2,2,,2,2,1,3,3,2,1,1,1,,1,2,1,1,,,2,2,,,,,2,2,3,2,1,0,1,1,4,4,,1,,1,1,1,
"Iran, Islamic Rep.","IRN",111566059,0.38301857123784,1,49,3,5,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,1,1,3,1,1,1,1,1,1,1,2,2,1,2,1,3,3,1,1,1,,1,3,1,2,,,1,2,1,2,,,1,1,3,3,2,1,1,1,1,4,,1,,1,1,1,
"Iran, Islamic Rep.","IRN",157439166,0.734084722692284,2,60,2,2,1,,1,1,0,1,1,1,2,2,,,1,1,1,1,2,,,,,,,,,,,,,,1,1,1,1,2,2,,2,1,1,4,2,2,1,1,1,,2,,,,,,2,2,,,,,1,1,2,4,2,0,1,4,4,4,,1,,1,2,1,
"Iran, Islamic Rep.","IRN",168152665,0.761627846792223,1,69,1,2,2,,0,0,0,3,,,,,,,,,,,,1,3,3,3,3,3,1,3,3,,,,,2,2,2,2,2,2,,2,2,3,7,,,2,,,,2,,,,,,1,2,3,3,2,2,1,1,1,1,1,0,0,4,3,4,,4,,1,2,0,
"Iran, Islamic Rep.","IRN",168479338,1.69014632550272,2,20,2,4,1,,1,1,0,1,1,1,1,2,,,1,1,1,1,1,,,,,,,,,,,,,,2,2,2,1,1,1,,2,2,2,1,3,2,2,,,,1,2,1,2,,,2,2,,,,,2,3,3,3,,1,0,1,4,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",137943971,0.735249453264775,1,38,2,1,2,,1,1,0,1,1,2,2,2,,,2,,1,2,2,,,,,,,,,,,,,,2,2,2,2,2,2,,2,2,2,6,2,1,2,,,,2,,,,,,2,2,,,,,1,1,1,1,4,0,0,4,4,4,,4,,1,2,1,
"Iran, Islamic Rep.","IRN",133282439,1.29064393179576,2,22,3,5,1,,1,1,0,1,1,1,1,2,,,1,1,1,1,1,,,,,,,,,,,,,,1,2,1,1,2,2,,1,2,1,3,3,3,2,,,,1,2,2,2,1,,1,2,1,2,,,2,2,2,2,2,0,1,2,1,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",200280309,0.669257434354261,2,45,2,1,1,,1,1,1,1,1,1,1,2,,,1,1,1,1,1,,,,,,,,,,2,2,2,1,1,1,1,1,2,2,2,2,1,1,2,3,3,1,2,1,,2,,,,,,1,2,1,2,,,2,2,2,2,2,0,1,4,1,4,,1,,1,1,1,
"Iran, Islamic Rep.","IRN",153027731,1.89356855319172,1,15,1,3,2,,1,1,0,1,1,1,1,2,,,1,2,2,,1,,,,,,,,,,,,,,2,2,2,2,2,1,,2,2,2,1,2,2,2,,,,2,,,,,,2,2,,,,,3,3,3,3,,1,0,4,4,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",172608934,1.73526654859702,2,25,3,3,1,,1,1,0,1,1,1,2,2,,,1,2,1,2,1,,,,,,,,,,,,,,1,1,1,1,2,1,,2,1,2,1,3,2,1,2,1,,2,,,,,,1,2,2,2,2,2,3,2,2,3,2,1,1,4,3,4,,1,,1,1,1,
"Iran, Islamic Rep.","IRN",187726520,0.483916949434937,1,42,3,3,2,,1,1,0,1,1,1,1,2,,,1,1,1,1,1,,,,,,,,,,,,,,2,2,2,2,2,2,,2,1,2,1,2,2,2,,,,2,,,,,,1,2,1,2,,,3,3,3,3,,1,1,4,1,4,,4,,1,2,1,
"Iran, Islamic Rep.","IRN",140258871,1.46422586123045,1,39,2,1,1,,1,1,0,1,2,2,2,2,,,2,,2,,1,,,,,,,,,,,,,,2,2,2,2,1,1,,2,2,2,4,1,1,2,,,,2,,,,,,2,2,,,,,3,3,3,4,,1,0,4,4,4,,4,,1,1,0,
"Iran, Islamic Rep.","IRN",171520939,0.578405280920916,2,43,2,4,1,,1,1,0,1,1,1,1,2,,,1,2,1,1,1,,,,,,,,,,,,,,2,1,1,1,2,2,,1,1,1,3,1,1,1,1,1,,1,1,1,2,,,1,2,1,2,,,2,1,2,2,2,0,1,1,1,4,,1,,1,1,1,
"Iran, Islamic Rep.","IRN",127604293,0.679030282647293,2,40,2,3,1,,1,1,0,1,1,2,2,2,,,1,1,1,1,2,,,,,,,,,,,,,,2,2,2,2,2,2,,2,2,2,2,3,3,1,2,2,1,1,2,1,2,,,2,2,,,,,1,2,2,1,3,0,0,1,4,4,,2,,1,2,1,
