"year_b","id_i","weight_d","respondent_age_o","respondent_education_level_o","in_the_workforce_b","household_income_quintile_o","main_source_emergency_funds_c","has_account_b","has_financial_institution_account_b","has_mobile_money_account_b","made_or_received_digital_payment_b","received_government_pension_b","received_government_transfers_c","received_government_pension_payment_c","used_phone_for_finance_b","owns_mobile_phone_b","saved_in_past_year_b","any_deposit_into_account_b","any_withdrawal_from_account_b","reason_no_account_c","borrowed_in_the_past_year_c"
2017,2,0.6743415611904492,42,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,NA,2
2017,4,0.9317940422366628,35,1,0,1,0,1,1,0,1,0,1,0,NA,1,0,NA,NA,1,1
2017,8,1.2513573579757358,37,0,0,1,0,1,1,0,1,0,1,0,NA,0,0,NA,NA,5,2
2017,9,1.9209095962758609,20,1,0,1,2,1,1,0,1,0,3,0,0,0,1,1,1,NA,1
2017,11,0.5956589693894226,40,1,0,2,0,1,1,0,1,0,1,0,0,0,1,1,1,NA,3
2017,13,0.9954275879125734,76,2,0,3,4,1,1,0,1,0,0,0,0,0,0,1,1,NA,0
2017,14,1.003601639382893,48,0,1,2,0,1,1,0,1,0,1,0,0,0,0,1,1,NA,3
2017,16,0.3924854977481907,37,1,1,4,0,1,1,1,1,0,1,0,0,1,0,1,1,NA,3
2017,18,1.9986919526812086,32,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,NA,1
2017,19,0.6895992242227059,33,1,0,1,0,1,1,1,1,NA,1,NA,0,1,0,0,1,NA,0
2017,20,1.1774564932445721,38,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,NA,1
2017,24,1.4755486595212377,30,1,0,3,0,1,1,0,1,0,0,0,1,1,0,0,1,NA,0
2017,26,1.3486831223808984,48,0,0,0,0,1,1,0,1,0,1,0,NA,0,0,NA,NA,0,0
2017,27,1.879588129758262,52,0,1,3,0,1,1,0,1,0,1,0,0,1,0,1,1,NA,1
2017,29,2.475403571279069,15,1,0,2,1,1,1,0,NA,0,0,0,0,1,1,NA,NA,NA,0
2017,35,0.6485053959419441,70,1,0,4,0,0,0,0,0,1,0,2,NA,1,0,NA,NA,5,0
2017,36,0.2860514716047312,39,2,0,2,3,1,1,1,1,0,0,0,1,1,0,1,1,NA,2
2017,37,0.35692227578857944,34,2,1,4,1,1,1,0,1,0,1,0,0,1,1,1,0,NA,3
2017,40,0.7676031932734615,47,0,0,4,0,1,1,0,1,0,1,0,NA,1,0,NA,NA,1,1
2017,41,0.2860514716047312,60,0,0,1,2,1,1,0,1,1,1,1,NA,1,0,NA,NA,6,1
2017,42,1.4763877578636095,52,1,0,2,0,1,1,1,1,0,2,0,1,1,1,1,0,NA,3
2017,43,0.38380159663673075,41,0,0,4,0,0,0,0,0,0,0,0,NA,1,0,NA,NA,5,4
2017,45,1.3144014154993044,50,0,0,3,0,1,1,0,NA,0,0,0,0,1,0,0,0,NA,1
2017,46,1.5823167653982813,38,1,0,0,0,1,1,0,1,0,1,0,NA,1,0,NA,NA,3,0
2017,50,0.7755230113237459,18,1,0,4,2,1,1,1,NA,0,0,0,NA,1,1,0,1,NA,1
2017,51,0.8316384924695615,19,1,0,2,2,1,1,0,1,0,0,0,1,1,0,1,1,NA,4
2017,55,0.9317940422366628,30,1,1,1,0,1,1,0,NA,0,3,0,0,1,0,1,0,NA,1
2017,56,0.2860514716047312,34,2,1,0,0,1,1,1,1,0,3,0,0,1,0,0,0,NA,0
2017,59,0.4679612899373414,45,1,0,4,0,1,1,0,1,0,3,0,0,1,0,1,0,NA,1
2017,60,2.9384095884850137,18,1,0,2,0,1,1,1,1,0,1,0,0,1,1,0,1,NA,0
2017,61,1.5699419909927628,38,0,0,3,0,1,1,0,1,0,1,0,NA,1,0,NA,NA,5,1
2017,63,0.47854938962587246,30,0,1,0,0,1,1,0,1,0,1,0,NA,1,0,NA,NA,1,0
2017,64,1.9986919526812086,30,1,1,3,0,1,1,0,NA,0,0,0,0,1,0,1,1,NA,1
2017,66,0.7346023971212534,18,1,0,4,2,1,1,0,NA,0,0,0,0,1,1,1,1,NA,4
2017,69,0.38958256679898223,44,2,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,NA,1
2017,70,2.8813643944137906,17,1,0,2,2,1,1,1,1,0,1,0,NA,0,0,NA,NA,6,NA
2017,74,0.41878151177288686,26,2,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,NA,1
2017,75,2.9536587195081534,22,1,0,3,2,1,1,0,1,0,1,0,NA,1,0,NA,NA,1,3
2017,76,2.9536587195081534,17,1,0,3,3,1,1,0,1,0,1,0,0,1,0,0,0,NA,0
2017,78,0.562776638388657,27,2,1,4,1,1,1,1,1,0,1,0,1,1,1,1,1,NA,3
2017,79,0.48575748820293324,33,2,1,2,0,1,1,1,1,1,1,1,1,1,0,1,1,NA,3
2017,80,0.925079605721244,80,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,NA,0
2017,81,0.8762676103328697,54,0,0,1,0,1,1,0,NA,1,3,3,0,1,0,0,0,NA,1
